Player Name,Appearances,Goals Scored,Assists Provided,Dribbles per 90,Interceptions per 90,Tackles per 90,Total Duels Won per 90
Bassam Al0Rawi,1,0,0,0.00,0.00,0.00,4.00
Musab Kheder,0,0,0,0,0,0,0
Homam Ahmed,0,0,0,0,0,0,0
Jassem Gaber,0,0,0,0,0,0,0
Karim Boudiaf,3,0,0,1.95,0.00,0.97,8.76
Salem Al0Hajri,0,0,0,0,0,0,0
Abdulaziz Hatem,3,0,0,0.00,0.46,0.46,1.84
Ali Assadalla,0,0,0,0,0,0,0
Mohammed Waad,0,0,0,0,0,0,0
Assim Madibo,0,0,0,0,0,0,0
Mustafa Tarek,0,0,0,0,0,0,0
Hassan Al0Haydos,3,0,0,2.14,0.86,1.29,1.71
Akram Afif,3,0,0,1.67,0.00,0.00,3.33
Almoez Ali,3,0,0,1.19,0.40,0.40,3.19
Ismaeel Mohammada,0,0,0,0,0,0,0
Mohammed Muntari,0,0,0,0,0,0,0
Ahmed Alaaeldin,1,0,0,0.00,0.00,0.00,0.00
Khalid Muneer,0,0,0,0,0,0,0
Naif Al0Hadhrami,0,0,0,0,0,0,0
Alireza Beiranvand,2,0,0,0,0,0,0
Amir Absedzadeh,0,0,0,0,0,0,0
Hossein Hosseini,2,0,0,0,0,0,0
Payam Niazmand,0,0,0,0,0,0,0
Ehsan Hajsafi,3,0,0,0.76,0.76,3.03,5.68
Hossein Kanaani,1,0,0,0.00,2.05,0.00,2.05
Morteza Pouraliganji,3,0,0,0.00,2.00,0.67,7.66
Ramin Rezaeian,2,1,0,0.50,1.50,3.50,6.50
Milad Mohammadi,3,0,0,0.45,0.45,4.55,7.72
Shojae Khalilzadeh,0,0,0,0,0,0,0
